ID,Speed_Number,Speed_Letter,Speed_Figure,Error_Number,Error_Letter,Error_Figure,AverageQus_Par1,AverageQus_Par2,AverageQus_Par3,Number_Letter,Category_Switch,Color_Shape,Keep_Track,Letter_Memory,N_Back,Antisaccade,Stop_Signal,Stroop,OSpan_PCU,RSpan_PCU,SSpan_PCU,RI_F,RI_N,RI_V,DA_Uni,DA_Cross,Factor_Speed,Factor_Error,Factor_Question,Factor_Speed_Question,Factor_Multitasking_Behavior,Factor_Shifting,Factor_Updating,Factor_Inhibition,Factor_WMC,Factor_RI,Factor_DA
1.0,65.0,74.0,71.0,0.0,10.65,13.840000000000002,0.0625,0.375,0.4375,629.1800000000001,976.81,1030.54,0.5357142857142857,0.3333333333333333,-1.1359844495135014,0.76,101.08000000000004,221.36,0.813888888888889,0.7388888888888889,0.39166666666666666,1.89,0.64,1.31,70.0,95.0,-1.4596312052546607,-1.1559536767902452,-2.5898082996524763,-1.9477278262254456,-2.692236720116656,2.4373336332579205,-2.821881473734215,-0.6182153799975335,-0.11051663692414415,-3.131813286598878,-3.111507307692403
2.0,97.0,97.0,94.0,12.32,14.55,17.090000000000003,0.5625,0.875,0.75,638.0500000000001,760.7,849.8599999999999,0.7678571428571429,0.5833333333333334,1.4820144683302798,0.91,120.96000000000004,246.11,0.8027777777777779,0.725,0.7166666666666667,2.34,2.92,3.12,683.0,702.0,-0.7807135345968774,1.539280738256469,0.46721042102321797,-0.45896150414434433,0.8759340250345027,1.3740560105496116,0.5843924988641007,0.9441846350000631,0.31090806274957083,0.9582154926324793,1.5787819879748457
3.0,120.0,100.0,117.0,9.88,10.700000000000001,13.520000000000001,0.625,0.8125,0.5625,563.98,646.36,801.63,0.6785714285714286,0.9166666666666666,-0.5521682176548169,0.57,230.41000000000003,180.3,0.8333333333333334,0.7166666666666667,0.9,3.12,2.92,3.48,0.0,636.0,-0.3460616252470995,0.11233395401005607,0.0031940889969533925,-0.24358897526830925,-0.12252922539810825,0.578049452058896,-0.5357647844460945,0.8829644794656977,0.6217450630099395,1.6812857974683153,-1.449604160067258
4.0,97.0,97.0,93.0,12.32,14.55,16.040000000000003,0.875,0.9375,0.8125,674.0300000000001,861.91,886.37,0.875,0.6666666666666666,0.9358558544369482,0.86,47.54000000000002,212.11,0.9722222222222223,0.8416666666666667,0.6749999999999999,2.86,2.99,2.44,537.0,758.0,-0.7921853566571715,1.4210179766570539,1.2925432868793043,-0.2521305762916993,0.9608988385279275,1.9679021723257586,1.3799891243516544,-1.0810712658899502,1.0082352567781034,0.6756773076598527,1.1838576869614192
5.0,149.0,168.0,219.0,11.0,14.55,16.5,0.5625,0.8125,0.75,444.68000000000006,887.91,946.06,0.7321428571428571,0.5,1.5742497100056496,0.73,108.46000000000004,190.35000000000002,1.0,0.7555555555555555,0.5194444444444445,2.05,2.56,2.91,635.0,613.0,1.6446529763788984,1.299788905873338,0.25880348472397274,1.3412010196631172,2.2738718048934654,1.3236389053076092,0.2019075860200943,-0.6749123534471567,0.5214516349730621,0.2695381579244046,1.062200075989555
6.0,98.0,108.0,211.0,8.4,11.850000000000001,14.650000000000002,0.3125,0.4375,0.25,490.22,525.29,1002.23,0.8035714285714286,0.5,-0.407146371388911,0.81,187.66000000000003,262.34000000000003,0.9388888888888888,0.7111111111111111,0.7472222222222222,2.44,2.12,2.41,414.0,550.0,0.671358561404238,0.25617553050498704,-2.3379166854033433,-0.46084715631602235,-0.19542368890539408,-0.006093977991976113,-0.020914655370616625,1.7034569235762262,0.5845962879558081,-0.41337246922504645,-0.067646446108337
7.0,88.0,93.0,88.0,3.040000000000001,1.4700000000000006,1.4100000000000001,0.5,0.4375,0.375,486.76000000000005,559.25,260.77,0.6607142857142857,0.6666666666666666,-1.0461411702910537,0.53,93.83000000000004,233.38,0.8444444444444446,0.7805555555555556,0.4444444444444444,2.44,1.79,1.93,107.0,439.0,-0.9430143855907305,-3.8384399190357064,-1.801950998202444,-1.3030644723906857,-4.356419768742679,-0.5871323213871504,-1.251459304254466,-2.4906018256318463,0.18034484164156794,-1.1695497330312423,-1.7217188027768136
8.0,101.0,99.0,43.0,0.0,0.0,0.0,0.0625,0.5625,0.5625,683.72,714.96,995.7099999999999,0.48,0.17,-3.0539487414335675,0.23,66.54000000000002,190.52,0.7722222222222221,0.4166666666666667,0.38055555555555554,2.34,1.61,0.75,209.0,0.0,-1.3221398869093386,-4.664943957967807,-1.7277158772307484,-1.3280316465660689,-5.067607736143553,1.4812949700459141,-4.32490546633438,-5.334527042445708,-1.3610842263421459,-2.4641022277566096,-2.885608453967378
9.0,155.0,145.0,123.0,6.83,11.22,13.060000000000002,0.75,0.8125,0.875,470.55000000000007,609.8199999999999,876.73,0.6428571428571429,0.3333333333333333,0.8957765919813018,0.82,153.08,185.13,0.8333333333333334,0.4055555555555556,0.8250000000000001,3.12,3.13,2.39,371.0,519.0,0.36376967338610644,-0.24408255386305988,0.794769171924872,0.7543646561136114,0.4659939002881418,0.1636386835127348,-1.0728557500918297,0.9988836613672872,-0.6014871917029332,0.8992742446048754,-0.3549635560290365
10.0,158.0,130.0,139.0,6.37,6.750000000000001,13.090000000000002,0.875,0.875,0.6875,384.1700000000001,527.8,512.0899999999999,0.6428571428571429,0.5,-1.5518528053450125,0.67,168.79000000000002,213.44,0.8333333333333334,0.611111111111111,0.513888888888889,2.76,1.81,1.46,491.0,426.0,0.4245380431631762,-1.119529160056364,0.8472647370560668,0.7291966270720076,-0.28617419139668787,-0.8427336892022812,-1.852202712800856,0.23811432809572308,-0.34098605780614677,-1.4125678355029847,-0.19949774413309174
11.0,85.0,75.0,104.0,12.32,13.23,16.37,0.8125,0.75,0.75,613.9300000000001,470.55,840.76,0.8571428571428571,0.5833333333333334,-0.9950990928920732,0.75,219.37000000000003,294.76,0.9722222222222223,0.6611111111111111,0.19444444444444442,2.57,2.64,2.09,680.0,703.0,-0.9477008749574678,1.2164745100830707,0.4491886466606035,-0.7105023348029686,0.383585133406533,0.04353336866227504,0.30571129609139364,1.9718455014102265,-0.3653488209793325,-0.12998562656277174,1.570124549071459
12.0,81.0,117.0,125.0,6.510000000000001,13.700000000000001,15.320000000000002,0.75,0.75,0.5,295.31000000000006,506.15,621.99,0.8392857142857143,0.9166666666666666,0.03829219275462037,0.82,192.08,176.73000000000002,0.7999999999999999,0.6749999999999999,0.2972222222222222,2.38,0.98,2.44,519.0,609.0,-0.3357406170950578,0.42264014106062375,-0.12425260494634996,-0.473291418489402,-0.06769134460563814,-1.1440222258865036,1.0647735756937788,1.8773213288951103,-0.5099963788926869,-1.5279714834431843,0.573820216614227
13.0,112.0,104.0,117.0,8.870000000000001,13.600000000000001,17.490000000000002,0.625,0.625,0.6875,424.25000000000006,593.43,817.9,0.8035714285714286,0.5,0.3797984438149316,0.86,111.08000000000004,225.96,0.6666666666666666,0.7916666666666666,0.5722222222222223,2.44,2.56,2.81,618.0,682.0,-0.3579368494342172,0.9581118658778587,-0.38515510637678996,-0.36657627982472474,0.4734212447207516,-0.1268293470795607,0.3067147189107151,0.35010641089768835,0.052459135148424,0.3776073155618967,1.241179188905002
14.0,88.0,93.0,90.0,3.99,10.43,12.920000000000002,0.4375,0.8125,0.5625,552.96,800.72,907.3499999999999,0.6785714285714286,0.5,0.6065892638354446,0.56,220.04000000000002,170.82000000000002,0.7166666666666668,0.6194444444444445,0.4527777777777777,2.67,2.28,2.26,7.0,117.0,-0.9200707414701421,-0.7768086914144117,-0.2958999846799536,-0.8364502332729982,-1.38992734257294,1.2984642480258783,-0.6525297729751036,0.5750820197419273,-0.6413412278651445,-0.27608066972405304,-3.2897129257156026
15.0,85.0,75.0,80.0,11.16,14.55,17.94,0.75,0.6875,0.6875,354.47,580.34,1063.37,0.8571428571428571,0.9166666666666666,-0.14987397115936432,0.18,180.91000000000003,274.85,0.9666666666666667,0.5444444444444444,0.5499999999999999,2.2,2.82,2.65,282.0,16.0,-1.2230246044045263,1.48295231164069,0.02264787904039317,-0.9874703649353667,0.35993777103158886,-0.1935972366366521,1.1369577035417955,-3.1299929539754663,-0.2527014755720556,0.3639910399787042,-2.529719949752391
16.0,129.0,98.0,153.0,12.32,14.55,16.62,0.9375,0.875,0.8125,573.1800000000001,616.26,845.5699999999999,0.7857142857142857,0.75,1.3958403778858774,0.68,196.16000000000003,254.32,0.9166666666666666,0.5888888888888889,0.725,2.93,3.4,2.39,638.0,721.0,0.10384544655210783,1.4863440735405402,1.1838343751390281,0.40060330750601586,1.5946424447038487,0.5246679855583505,0.9387156424255196,0.9289055146905967,0.06984501675424326,1.0657036842519765,1.4633228002157108
17.0,162.0,151.0,159.0,10.5,12.600000000000001,14.950000000000003,0.75,0.875,0.75,403.21000000000004,552.11,584.43,0.8214285714285714,0.8333333333333334,-0.16098891713824032,0.73,191.58,244.58,0.9305555555555557,0.8888888888888888,0.3194444444444445,1.87,2.09,2.62,601.0,511.0,0.8766811203092479,0.7025911118898086,0.766304494700125,1.0649485858809256,1.5308404733686805,-0.6020887505682992,0.7114449231029731,1.197286080524962,0.551931717445343,-0.5427660757541536,0.5560145543207733
18.0,147.0,131.0,140.0,9.030000000000001,5.520000000000001,17.76,0.375,0.625,0.5,309.08000000000004,272.98,921.04,0.7678571428571429,0.8333333333333334,0.04271560937487512,0.43,206.91000000000003,322.23,0.6944444444444445,0.777777777777778,0.6666666666666666,2.86,2.56,3.16,521.0,486.0,0.3772701012135818,-0.47007220812137473,-1.1392546248986544,0.10108477584598909,-0.3021743915088542,-1.801004385339778,0.3446828948816319,-0.6866644339802879,0.20285055862103155,0.9083088998702769,0.1391185712548444
19.0,120.0,101.0,160.0,9.88,8.07,8.560000000000002,0.5625,0.5,0.4375,426.84000000000003,309.17,61.049999999999955,0.5892857142857143,0.5833333333333334,-0.9590187083263445,0.35,142.66000000000003,180.07000000000002,0.8444444444444444,0.35000000000000003,0.6333333333333334,2.34,1.22,2.55,520.0,523.0,0.15665146351279183,-0.9279091819783107,-1.375410230582234,-0.358153610516211,-1.0914199947363619,-2.057169288461715,-1.9371198243280245,-2.7282992717846715,-1.068051604322968,-1.2148264927476033,0.2682547197106105
